date,value
2020-10-23,345.779999
2020-10-22,344.609985
2020-10-21,342.730011
2020-10-20,343.380005
2020-10-19,342.01001
2020-10-16,347.290009
2020-10-15,347.5
2020-10-14,347.929993
2020-10-13,350.130005
2020-10-12,352.429993
2020-10-9,346.850006
2020-10-8,343.779999
2020-10-7,340.76001
2020-10-6,334.929993
2020-10-5,339.76001
2020-10-2,333.839996
2020-10-1,337.040009
2020-9-30,334.890015
2020-9-29,332.369995
2020-9-28,334.190002
2020-9-25,328.730011
2020-9-24,323.5
2020-9-23,322.640015
2020-9-22,330.299988
2020-9-21,326.970001
2020-9-18,330.649994
2020-9-17,335.839996
2020-9-16,338.820007
2020-9-15,340.170013
2020-9-14,338.459991
2020-9-11,334.059998
2020-9-10,333.890015
2020-9-9,339.790009
2020-9-8,333.209991
2020-9-4,342.570007
2020-9-3,345.390015
2020-9-2,357.700012
2020-9-1,352.600006
2020-8-31,349.309998
2020-8-28,350.579987
2020-8-27,348.329987
2020-8-26,347.570007
2020-8-25,344.119995
2020-8-24,342.920013
2020-8-21,339.480011
2020-8-20,338.279999
2020-8-19,337.230011
2020-8-18,338.640015
2020-8-17,337.910004
2020-8-14,336.839996
2020-8-13,336.829987
2020-8-12,337.440002
2020-8-11,332.799988
2020-8-10,335.570007
2020-8-7,334.570007
2020-8-6,334.329987
2020-8-5,332.109985
2020-8-4,330.059998
2020-8-3,328.790009
2020-7-31,326.519989
2020-7-30,323.959991
2020-7-29,325.119995
2020-7-28,321.170013
2020-7-27,323.220001
2020-7-24,320.880005
2020-7-23,322.959991
2020-7-22,326.859985
2020-7-21,325.01001
2020-7-20,324.320007
2020-7-17,321.720001
2020-7-16,320.790009
2020-7-15,321.850006
2020-7-14,318.920013
2020-7-13,314.839996
2020-7-10,317.589996
2020-7-9,314.380005
2020-7-8,316.179993
2020-7-7,313.779999
2020-7-6,317.049988
2020-7-2,312.230011
2020-7-1,310.519989
2020-6-30,308.359985
2020-6-29,304.459991
2020-6-26,300.049988
2020-6-25,307.350006
2020-6-24,304.089996
2020-6-23,312.049988
2020-6-22,310.619995
2020-6-19,308.640015
2020-6-18,311.779999
2020-6-17,311.660004
2020-6-16,312.959991
2020-6-15,307.049988
2020-6-12,304.209991
2020-6-11,300.609985
2020-6-10,319
2020-6-9,320.790009
2020-6-8,323.200012
2020-6-5,319.339996
2020-6-4,311.359985
2020-6-3,312.179993
2020-6-2,308.079987
2020-6-1,305.549988
2020-5-29,304.320007
2020-5-28,302.970001
2020-5-27,303.529999
2020-5-26,299.079987
2020-5-22,295.440002
2020-5-21,294.880005
2020-5-20,296.929993
2020-5-19,291.970001
2020-5-18,295
2020-5-15,286.279999
2020-5-14,284.970001
2020-5-13,281.600006
2020-5-12,286.670013
2020-5-11,292.5
2020-5-8,292.440002
2020-5-7,287.679993
2020-5-6,284.25
2020-5-5,286.190002
2020-5-4,283.570007
2020-5-1,282.790009
2020-4-30,290.480011
2020-4-29,293.209991
2020-4-28,285.730011
2020-4-27,287.049988
2020-4-24,282.970001
2020-4-23,279.079987
2020-4-22,279.100006
2020-4-21,273.040009
2020-4-20,281.589996
2020-4-17,286.640015
2020-4-16,279.100006
2020-4-15,277.76001
2020-4-14,283.790009
2020-4-13,275.660004
2020-4-9,278.200012
2020-4-8,274.029999
2020-4-7,265.130005
2020-4-6,264.859985
2020-4-3,248.190002
2020-4-2,251.830002
2020-4-1,246.149994
2020-3-31,257.75
2020-3-30,261.649994
2020-3-27,253.419998
2020-3-26,261.200012
2020-3-25,246.789993
2020-3-24,243.149994
2020-3-23,222.949997
2020-3-20,228.800003
2020-3-19,240.509995
2020-3-18,240
2020-3-17,252.800003
